comment_count,region_code,video_description,hashtag_names,id,like_count,share_count,username,view_count
17,US,BioEmblem Magnesium Supplements! @BioEmblem @BioEmblemUS #magnesium #dietarysupplement #magnesiumdeficiency #bonehealth #hearthealth #musclehealth #postworkout #tiktokshopfinds ,"['postworkout', 'magnesium', 'hearthealth', 'dietarysupplement', 'bonehealth', 'magnesiumdeficiency', 'musclehealth', 'tiktokshopfinds']",7397913777443736863,25,1,abby_grein,1126
5,US,"Rebounding is great for your cardiovascular system, lymphatic system, and overall mental clarity. Let’s see if it checks out follow me on my journey of jumping on the trampoline for 15 minutes every day for 30 days. #tiktokshop #rebounding #reboundingworkout #hearthealth","['hearthealth', 'rebounding', 'tiktokshop', 'reboundingworkout']",7397912333269470495,12,1,peachydeals1,468
0,US,"💫 Did you know that high blood pressure is a leading risk factor for heart disease, which has been the top cause of death in the U.S. for the past 100 years according to the American Heart Association?  ✅ Other risk factors include, an unhealthy diet, not enough exercise, drinking too much alcohol, and smoking… 💪🏽 Becoming a health and wellness coach that empowers middle-aged adults struggling with high blood pressure was the best career decision I ever made…especially in this era when high blood pressure has become a critical health issue for so many… 💕 Everyday I get to help amazing individuals achieve peace of mind and confidence to take control of their health without feeling exhausted and overwhelmed due to the constant fear and worry of blood pressure complications, by empowering them with the tools and strategies to take proactive steps and develop healthy habits so they can enjoy a life full of energy, and cherished moments with their loved ones… 👍 It’s all about shifting your mindset, making sustainable lifestyle changes, and embracing holistic well-being… 👆🏾click the link in my bio to schedule a free consultation or DM me to learn more… #highbloodpressure #hearthealth #bloodpressuremanagement #consistency #healthjourney #wellness #wellnesscoach #healthandwellnesscoaching #healthylifestyle #wellnesswarrior #wellnessadvocate #womenshealth #empoweringothers #livetoinspire #healthandwellnesstips #empowermentofwomen #putyourselffirst #successgoals #failureisnotanoption #proactivehealth #stayincontrol  #preventcomplications  #stayhealthy #mindbodyspirit ","['wellness', 'healthylifestyle', 'stayhealthy', 'consistency', 'putyourselffirst', 'livetoinspire', 'successgoals', 'failureisnotanoption', 'stayincontrol', 'hearthealth', 'wellnesscoach', 'mindbodyspirit', 'highbloodpressure', 'womenshealth', 'healthjourney', 'wellnessadvocate', 'empoweringothers', 'wellnesswarrior', 'empowermentofwomen', 'proactivehealth', 'healthandwellnesstips', 'preventcomplications', 'healthandwellnesscoaching', 'bloodpressuremanagement']",7397909154888715563,7,0,coach.jmc,705
1,US,There is a long family history of heart attacks & heart disease. Unfortunately I do have assending aortic aneurysm. CT scan yesterday and my heart is healthy & strong. #hearthealth #hearthealthy #hearthealthydiet #yummyfood ,"['yummyfood', 'hearthealth', 'hearthealthy', 'hearthealthydiet']",7397908794971278623,8,0,elizabethharrisart,400
0,US,Listen... this bloodwork tells us about ourselves and sometimes the family too let me know if you need me to break it down a little more...  other than that  COME SEE US!  baltimorehealthcare.org  #heartdisease #healthcare #bloodwork #blackprimarycare #lifestylemedicine #vitamins #hormones #bloodpressure ,"['bloodpressure', 'healthcare', 'hormones', 'bloodwork', 'vitamins', 'heartdisease', 'lifestylemedicine', 'blackprimarycare']",7397907337652129070,92,9,bhwcrew,1297
3,US,All the benefits of Beet root in just one scoop 🍹 #nitricoxcide #energy #snapsupplements #hearthealth #bloodflow #supplements #tiktokshop #wellnes #beets #cardio #organic #cardio #workout #men #booster #health ,"['workout', 'energy', 'men', 'health', 'cardio', 'organic', 'beets', 'booster', 'supplements', 'bloodflow', 'wellnes', 'hearthealth', 'tiktokshop', 'snapsupplements', 'nitricoxcide']",7397904885888519470,11,5,sweetheart_ana,386
2,US,#magnesium #magnesio #supplements #health #franksuarez #sleep #energy #hearthealth #fypシ゚viral #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #ofertas ,"['energy', 'sleep', 'health', 'supplements', 'magnesium', 'hearthealth', 'magnesio', 'ofertas', 'fypシ゚viral', 'paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii', 'franksuarez']",7397902349785664798,16,0,karenguardado135,652
10,US,Deal supplement Magnesium Glycinate 500 mg #dealsforyoudays #tiktokshopsummersale #summersale #wellness #TikTokMadeMeBuyIt #tiktokshop #TrendingHealth #mushroom #d3k2 #collagen #dealsuplement #mushroomcoffee #lionsmane #skincare #muscle #magnesium #gymmotivation #highschool #gymgainseveryday #DealSupplement #Magnesium #Wellness #HealthBenefits #HeartHealth #MuscleRecovery #BoneHealth #BetterSleep #NervousSystem #supplements #supplement#dealsupplement ,"['muscle', 'highschool', 'gymmotivation', 'lionsmane', 'wellness', 'mushroom', 'skincare', 'healthbenefits', 'supplements', 'bettersleep', 'magnesium', 'collagen', 'supplement', 'nervoussystem', 'summersale', 'hearthealth', 'musclerecovery', 'tiktokshop', 'bonehealth', 'd3k2', 'tiktokmademebuyit', 'mushroomcoffee', 'trendinghealth', 'gymgainseveryday', 'dealsuplement', 'dealsupplement', 'tiktokshopsummersale', 'dealsforyoudays']",7397901856304860446,8,1,dealsupplementofficial,728
0,US,"If #HeartDisease runs in your family, you may be at risk for #PAD. Stay proactive: contact us today! 📞(408) 918-0405 📍105 N. Bascom Ave., San Jose, CA 🔗https://www.arashpadidar.com/pad-l-peripheral-artery-disease.php #Genetics #VascularHealth #MISS #SanJose #NonInvasive #HealthScreening #EarlyDetection #LegPainRelief","['miss', 'sanjose', 'pad', 'genetics', 'heartdisease', 'noninvasive', 'healthscreening', 'earlydetection', 'vascularhealth', 'legpainrelief']",7397892254335143214,1,0,malianpadidarmd,230
2,US,Este mezcla de betabel tiene sabor a cereza! #beets #energy #bloodpressure #hearthealth #tiktokshopdealsforyoudays #dealsforyoudays #tiktokshopbacktoschool #treasurefinds #ttsacl @Nature’s Pure Blend,"['energy', 'bloodpressure', 'beets', 'hearthealth', 'treasurefinds', 'tiktokshopbacktoschool', 'ttsacl', 'dealsforyoudays', 'tiktokshopdealsforyoudays']",7397891099022478622,9,30,rosadelaluz5,169
4,US,"You're going to die eventually, why not enjoy the process of building a healthy, lengthy life.. #prosperity  How much is your life worth???? Health is wealth...  Chadi Chehade #accountabilitypartner  #leadbyexample  #cardiovascular  #hitworkout  #duespaid  #hearthealth  #nofluff #weightlossjourney  #weightlosshacks RAise your personal #standards  Become 1% better overall than yesterday.  #onepercentbettereveryday ","['weightlossjourney', 'standards', 'prosperity', 'leadbyexample', 'hearthealth', 'duespaid', 'cardiovascular', 'hitworkout', 'weightlosshacks', 'nofluff', 'accountabilitypartner', 'onepercentbettereveryday']",7397890420455247147,7,0,luisgeefit,640
21,US,Heart Health focus. How's your wellness journey going? Please share 🥰 #wellness #wellnesswednesday #emotionalwellness #balance #freshjuice #hearthealth #heartfocus #goals,"['goals', 'balance', 'wellness', 'wellnesswednesday', 'hearthealth', 'freshjuice', 'heartfocus', 'emotionalwellness']",7397876611430960430,31,0,theboldliving,305
11,US,#hearthealth #reversediabetes #type2diabetes ,"['type2diabetes', 'hearthealth', 'reversediabetes']",7397874300621049131,350,24,reversingdiabetesrvltn,8427
14,US,Take it one day at a time and all things keep getting better #progress #allthingskeepgettingbetter #hearthealth #fitness #lifecoach #jamalcoaching ,"['fitness', 'progress', 'lifecoach', 'hearthealth', 'jamalcoaching', 'allthingskeepgettingbetter']",7397874237924527402,78,2,jamalcoaching,1739
46,US,"Sure i make videos to humor myself and others but most of my time is spent crying, or wondering about a life i will never know. Sometimes i just get so tired of being so sick and knowing this will be my life forever.  #heartfailure #heartdisease #aorticstenosis #ppcm #afib #pacemaker #tavr #ablation #watchman #Vanderbilt #cardiomyopathy #heart #MomTiktok #nashville ","['heart', 'nashville', 'vanderbilt', 'heartdisease', 'watchman', 'pacemaker', 'tavr', 'heartfailure', 'ppcm', 'afib', 'momtiktok', 'cardiomyopathy', 'ablation', 'aorticstenosis']",7397873717969276191,446,1,jamiesjourneyy_,14731
0,US,on the Organ Trail.. #donatelife #hearthealth #exerise4life #hereigo ,"['hereigo', 'donatelife', 'hearthealth', 'exerise4life']",7397873053952249130,4,0,askew_smurf420,245
0,US,#tiktokaffilate #tiktokfind #goodthingrecommendation #magnesiumtriplecomplex #hearthealth #bonehealth #musclehealth #nervefunctions #cognitivefunctions #energy #over50 #genxhealth ,"['energy', 'over50', 'hearthealth', 'bonehealth', 'tiktokfind', 'cognitivefunctions', 'musclehealth', 'goodthingrecommendation', 'genxhealth', 'tiktokaffilate', 'nervefunctions', 'magnesiumtriplecomplex']",7397869824623283486,11,0,shelcographics,353
0,US,"Understanding the Anatomy of the Bundle Branches in the Heart In this educational video, we explore the different branches of the bundle branches in the heart, focusing on the right and left branches. FREE Fundamentals Chapter at PracticalEMS.com. #HeartAnatomy #BundleBranches #CardiacElectrophysiology #HeartHealth #CardiologyEducation #MedicalScience #CardiacFunction #ElectricalConduction #HeartKnowledge #HeartEducation","['heartanatomy', 'hearthealth', 'medicalscience', 'heartknowledge', 'electricalconduction', 'hearteducation', 'cardiacelectrophysiology', 'bundlebranches', 'cardiacfunction', 'cardiologyeducation']",7397868846620658987,17,1,practicalems,833
1,US,"🥦 Broccoli: More than just a green side dish! Packed with vitamins, minerals, and antioxidants, this superfood is a must-have in your diet. 💪 From boosting your immune system to promoting heart health, discover the incredible benefits of broccoli in our latest reel! 💚 Let us know in the comments if you're a broccoli lover! 👇 #broccoli #healthbenefits #superfood #nutrition #healthylifestyle #eatyourgreens #vitaminc #antioxidants #hearthealth #immuneboost #healthyfood #foodie #healthyliving #wellness #fitfam #eatclean #plantbased #vegan #vegetarian #healthyrecipes #broccolicreamsoup #broccolicheesesteak #broccolipower #greensmoothie #broccolilove #healthyisthenewsexy","['vitaminc', 'vegan', 'fitfam', 'eatclean', 'nutrition', 'healthyfood', 'vegetarian', 'greensmoothie', 'broccoli', 'foodie', 'wellness', 'healthylifestyle', 'eatyourgreens', 'healthbenefits', 'healthyliving', 'superfood', 'healthyisthenewsexy', 'plantbased', 'healthyrecipes', 'hearthealth', 'broccolilove', 'broccolipower', 'immuneboost', 'antioxidants', 'broccolicreamsoup', 'broccolicheesesteak']",7397866715134070047,22,3,supremeserenity8,732
0,US,"UB 15, also known as the back Shu point of the heart, is a powerful acupuncture point with amazing benefits for your heart health and overall well-being. 💓 🔸 **Boosts Heart Function:** Enhances cardiovascular health and supports a strong, healthy heart. 🔸 **Calms the Mind:** Helps reduce anxiety, stress, and emotional imbalances, promoting a sense of calm and tranquility. 🔸 **Improves Circulation:** Encourages better blood flow, ensuring your body gets the oxygen and nutrients it needs. 🔸 **Strengthens Immunity:** Aids in fortifying your immune system, helping you stay resilient and healthy.                        #acupuncturist  #Acupuncture #UB15 #HeartHealth #Wellness #TraditionalChineseMedicine #TCM #HolisticHealing #MindBodySpirit #NaturalHealth #StressRelief #ImmuneBoost","['stressrelief', 'tcm', 'wellness', 'acupuncture', 'hearthealth', 'mindbodyspirit', 'immuneboost', 'holistichealing', 'naturalhealth', 'acupuncturist', 'ub15', 'traditionalchinesemedicine']",7397866613896121643,2,0,shivawellnesscenter,753
0,US,"With so many options at the grocery aisle, why should you choose avocado oil? 🥑 Well, with its myriad of benefits for heart health, skin radiance, and culinary versatility, avocado oil stands out as a nourishing choice within the grocery aisle chaos. 🌟 Making good food choices is one part of the equation, but if you’re looking for added immune support, you can also incorporate IMMUSE™️, a unique postbiotic, into your daily routine.  #immuse #immunity #supplements #wellness #health #avocadooil #hearthealth #skincare","['health', 'immunity', 'wellness', 'skincare', 'supplements', 'immuse', 'hearthealth', 'avocadooil']",7397858949547969835,7,1,immusehealth,462
0,US,Welcome to Day #30 of the 31 Day Jumping Jack Squats Challenge! Jumping Jack Squats increase the endurance of the fast-twitch muscle fibers in your legs and help strengthen your core. Give this exercise a go and see how you feel at the end of 31 days. #fitness #jumpingjacksquats #squatjacks #weightlossjourney #hiit #burnfat #totalbodyworkout #cardio #endurance #hearthealth #aerobic #coachrob #personaltrainer #exercise #day30 #fypage #viral ,"['fitness', 'cardio', 'exercise', 'hiit', 'viral', 'personaltrainer', 'weightlossjourney', 'endurance', 'aerobic', 'coachrob', '30', 'day30', 'squatjacks', 'burnfat', 'hearthealth', 'totalbodyworkout', 'fypage', 'jumpingjacksquats']",7397857802619850027,7,0,robsgym,161
0,US,Welcome to Day #29 of the 31 Day Jumping Jack Squats Challenge! Jumping Jack Squats increase the endurance of the fast-twitch muscle fibers in your legs and help strengthen your core. Give this exercise a go and see how you feel at the end of 31 days. #ﬁtness #jumpingjacksquats #squatjacks #weightlossjourney #hiit #burnfat #totalbodyworkout #cardio #endurance #hearthealth #aerobic #coachrob #personaltrainer #exercise #day29 #viral #fypage #getfit ,"['getfit', 'cardio', 'exercise', 'hiit', 'viral', 'personaltrainer', 'weightlossjourney', 'endurance', 'aerobic', 'day29', 'coachrob', '29', 'squatjacks', 'burnfat', 'hearthealth', 'totalbodyworkout', 'fypage', 'jumpingjacksquats']",7397857251987311915,3,0,robsgym,140
0,US,"We are back you guys for a quick hiitt power move that you can use.  I call it the round about and we are still focused on that hamstring.  This move can be done with or without lifting the weight, and still provides a good hiitt circuit working the body and the heart ❤️!!! Have fun with it everybody!!! #foryoupagereels #foryoupageシ #foryouシ #foryourpage #explorepage #exploremore #explore #fitness #fitnesstips #workout #workoutroutine #HIITWorkout #HIIT #health #hearthealth #cardio #conditioning #performance #endurance #welness #WellBeing #riktok ","['workout', 'fitness', 'health', 'cardio', 'hiit', 'explore', 'performance', 'conditioning', 'wellbeing', 'endurance', 'exploremore', 'workoutroutine', 'explorepage', 'welness', 'riktok', 'fitnesstips', 'hearthealth', 'hiitworkout', 'foryourpage', 'foryouシ', 'foryoupageシ', 'foryoupagereels']",7397855448939908383,1,0,runwaytravelistas,243
11,US,"What is LDL cholesterol? LDL stands for low density lipoprotein. LDL is typically classified as the bad cholesterol. When you have high levels of LDL in your body, it can lead to plaque formation in the arteries. Which ultimately can lead to a cardiovascular incident or a stroke. Why do we have low density lipid proteins in the body? They carry fats through the bloodstream. LDL has high levels of cholesterol and lower levels of protein. Having too high, LDL can lead to plaque formation in the arteries. But, it’s not about having no cholesterol because we do need cholesterol for certain body functions like building cell membranes, and hormones. But we want to keep the LDL number lower. ##myjourney##cholesterol##hearthealth##highcholesterol##hdl##ldl##gene##genetics##trigliceridos##healthyheart##workout##bloodwork##stressrelief##stress##advocate##health##walk##exercise##vitaminD##omega3","['workout', 'walk', 'health', 'exercise', 'stressrelief', 'stress', 'gene', 'bloodwork', 'vitamind', 'genetics', 'ldl', 'myjourney', 'advocate', 'hdl', 'omega3', 'cholesterol', 'healthyheart', 'hearthealth', 'highcholesterol', 'trigliceridos']",7397852419108916510,30,1,jenniferglacken,1051
0,US,"🌟🍅 Discover the Amazing Health Benefits of Cherry Roma Tomatoes! 🍅🌟 Cherry Roma tomatoes are more than just a delicious addition to your meals – they're a powerhouse of nutrients and health benefits! 🌿✨ ✅ Nutrient-rich: Packed with vitamins A, C, and K, plus essential minerals like potassium and folate. ✅ Antioxidant Boost: High in lycopene, a powerful antioxidant that helps reduce the risk of chronic diseases and certain cancers. ✅ Heart Health: Lycopene and potassium work together to lower blood pressure and cholesterol, promoting a healthy heart. ✅ Digestive Health: High in fiber, aiding digestion and maintaining a healthy gut. ✅ Immune Support: Vitamin C enhances your immune system, helping you fight off infections. ✅ Glowing Skin: Vitamins A and C, along with antioxidants, contribute to healthier, radiant skin. ✅ Weight Management: Low in calories and high in fiber, making them perfect for weight loss diets. ✅ Anti-Inflammatory: Contains compounds that help reduce inflammation. ✅ Strong Bones: Rich in vitamin K and calcium, supporting bone health and reducing the risk of osteoporosis. ✅ Hydration: High water content helps keep you hydrated. Incorporate Cherry Roma tomatoes into your diet and enjoy these incredible health benefits! 🍅🌿 . . . . . . . #CherryRomaTomatoes #HealthBenefits #Antioxidants #HeartHealth #DigestiveHealth #ImmuneSupport #HealthySkin #WeightManagement #AntiInflammatory #BoneHealth #Hydration #Superfood #EatHealthy #GardenFresh #OrganicGardening #HomeGrown #gardening #romatomatoes","['homegrown', 'gardening', 'eathealthy', 'hydration', 'healthbenefits', 'superfood', 'healthyskin', 'hearthealth', 'romatomatoes', 'weightmanagement', 'organicgardening', 'gardenfresh', 'antiinflammatory', 'antioxidants', 'bonehealth', 'immunesupport', 'digestivehealth', 'cherryromatomatoes']",7397852131551628587,2,0,amazinggardenproducts,327
0,US,Cholesterol doesn’t just come from your food. It also comes from your liver. So how your body processes things can make a difference in your overall cholesterol numbers.#myjourney #cholesterol #hearthealth #highcholesterol #hdl #ldl #gene #genetics #trigliceridos #healthyheart #workout #bloodwork #stressrelief #stress #advocate #health #walk #exercise #vitaminD #omega3 ,"['workout', 'walk', 'health', 'exercise', 'stressrelief', 'stress', 'gene', 'bloodwork', 'vitamind', 'genetics', 'ldl', 'myjourney', 'advocate', 'hdl', 'omega3', 'cholesterol', 'healthyheart', 'hearthealth', 'highcholesterol', 'trigliceridos']",7397849343044144415,57,3,jenniferglacken,2098
1,US,"Replying to @Sandra Gadd your numbers look fantastic! The only thing I would caution you on is because your other numbers look great that LDL number being high might get skipped over. My heart preventative doctor would probably suggest digging in a little deeper to find out why that number is high and if there’s some other underlying inflammation issue. For me, my doctor had me do a couple of extra tests to really dig into why the LDL was high. We checked my blood pressure. We did the two hour glucose test. I did the oral DNA test. And there are a number of other underlying issues that could be affecting the inflammation in the body. But just be sure not to let that one slip by. The more information you have, the better your choices can be and you certainly want to be safe versus sorry. 🙏 #myjourney #cholesterol #hearthealth #highcholesterol #hdl #ldl #gene #genetics #trigliceridos #healthyheart #workout #bloodwork #stressrelief #stress #advocate #health #walk #exercise #vitaminD #omega3 ","['workout', 'walk', 'health', 'exercise', 'stressrelief', 'stress', 'gene', 'bloodwork', 'vitamind', 'genetics', 'ldl', 'myjourney', 'advocate', 'hdl', 'omega3', 'cholesterol', 'healthyheart', 'hearthealth', 'highcholesterol', 'trigliceridos']",7397847247859272991,32,3,jenniferglacken,935
0,US,"High blood pressure can harm your heart without you knowing! Understand what it is, how it affects you, and easy tips to stay healthy. Monitor your numbers, eat well, stay active, and reduce stress. Take care of your heart! ❤️ #HeartHealth #BloodPressure #Wellness #Inevifit #USA #HealthGoals #Savings #PremiumScales #BodyFatScale #BathroomScale #UpgradeYourHealth #WellnessJourney #LimitedTimeOffer #trendingnow #HealthyLiving #HealthJourney #AchieveGreatness #SmartScale #BluetoothScale #LoveYourBody #Exercise #BodyComposition #BalancedLife #HealthAtHome","['usa', 'exercise', 'bloodpressure', 'loveyourbody', 'wellness', 'savings', 'trendingnow', 'healthyliving', 'balancedlife', 'healthgoals', 'limitedtimeoffer', 'achievegreatness', 'hearthealth', 'healthjourney', 'bathroomscale', 'wellnessjourney', 'bodycomposition', 'smartscale', 'healthathome', 'bodyfatscale', 'inevifit', 'bluetoothscale', 'upgradeyourhealth', 'premiumscales']",7397846219650813227,0,0,inevifit,217
73,US,Why Do 75% Of Heart Attacks Happen With Normal Cholesterol? #cholesterol #heartattack #heartdisease ,"['heartattack', 'heartdisease', 'cholesterol']",7397845458057547039,339,11,drmohammedalo,30271
4,US,"Do you have high cholesterol? And you’ve been told to change your diet and exercise more? What if you don’t want to? There are other options. Sterols and stanols are found in fruits and vegetables and they act like a statin. However, you’d have to eat a ton of cucumbers, soybeans, and oranges, to get the right amount to lower your cholesterol. That’s why I prefer to use a supplement. if you’d like more info on the one I’ve found works best, text ‘LDL’ to the number 231–2 44–6868. #myjourney #cholesterol #hearthealth #highcholesterol #hdl #ldl #gene #genetics #trigliceridos #healthyheart #workout #bloodwork #stressrelief #stress #advocate #health #walk #exercise #vitaminD #omega3 ","['workout', 'walk', 'health', 'exercise', 'stressrelief', 'stress', 'gene', 'bloodwork', 'vitamind', 'genetics', 'ldl', 'myjourney', 'advocate', 'hdl', 'omega3', 'cholesterol', 'healthyheart', 'hearthealth', 'highcholesterol', 'trigliceridos']",7397844457481112862,10,0,jenniferglacken,767
1,US,ENOUGH IS ENOUGH… heart health is number 1 💪🏽💯 #mirror #gym #heart #hearthealth #cardio #diet #exercise ,"['heart', 'gym', 'cardio', 'exercise', 'mirror', 'diet', 'hearthealth']",7397840771342257450,6,0,greesemane4eva6,742
1,US,Makes for really great dark humor #heartdisease #chdawarness #darkhumour #foryou ,"['foryou', 'heartdisease', 'darkhumour', 'chdawarness']",7397837339554319659,22,0,bookobssesedgirlie,265
0,US,Cardio Vs Strength Training & How to Lose Fat Fast #fatlosstips #howtolosefat #strengthtraining  #cardioforfatloss #Cardioroutine  #cardiotraining  #HeartHealth  #cardiochallenge  #hiitcardio  #cardiogoals ,"['strengthtraining', 'hearthealth', 'cardiochallenge', 'hiitcardio', 'cardiotraining', 'fatlosstips', 'cardiogoals', 'howtolosefat', 'cardioroutine', 'cardioforfatloss']",7397835736512220446,1,0,thesigmafitness1,27
0,US,A searing pain shot through my chest while I was jogging one morning... #HeartHealth #LifeChange,"['lifechange', 'hearthealth']",7397835003100695854,0,0,ifyfrances2,25
0,US,#healthyliving #heartdiseaseprevention #hearthealth ,"['healthyliving', 'hearthealth', 'heartdiseaseprevention']",7397832986298715435,2,0,genevievecosby,735
0,US,Morning routine staple stocked up #cardio #morningroutine #hearthealth #bloodflow #healthytips ,"['cardio', 'morningroutine', 'bloodflow', 'healthytips', 'hearthealth']",7397829266144054570,3,0,humanlife881,274
3,US,It does have a dirt taste / smell but hey! We’re all for getting healthy at this big age 😂🫶🏽 #fyp #nitricoxcide #beets #hearthealth #healthy #bloodpressure #bloodpressurecheck ,"['healthy', 'bloodpressure', 'beets', 'fyp', 'hearthealth', 'bloodpressurecheck', 'nitricoxcide']",7397828534338653483,34,0,vannessalanette,726
